Timestamp,CPU_Temp,CPU_Temp2,GPU_Temp
2025-05-03 20:00:59,41.0,41.0,40
2025-05-03 20:01:04,74.0,73.0,41
2025-05-03 20:01:10,72.0,74.0,42
2025-05-03 20:01:15,75.0,77.0,43
2025-05-03 20:01:20,79.0,79.0,44
2025-05-03 20:01:25,75.0,75.0,45
2025-05-03 20:01:31,81.0,79.0,46
2025-05-03 20:01:36,78.0,79.0,47
2025-05-03 20:01:41,79.0,82.0,48
2025-05-03 20:01:46,81.0,79.0,48
2025-05-03 20:01:52,82.0,83.0,49
2025-05-03 20:01:57,83.0,82.0,49
2025-05-03 20:02:02,82.0,82.0,50
2025-05-03 20:02:07,86.0,84.0,50
2025-05-03 20:02:13,83.0,83.0,51
2025-05-03 20:02:18,83.0,83.0,51
2025-05-03 20:02:23,82.0,83.0,51
2025-05-03 20:02:28,83.0,86.0,51
2025-05-03 20:02:34,84.0,84.0,51
2025-05-03 20:02:39,86.0,84.0,51
2025-05-03 20:02:44,84.0,83.0,52
2025-05-03 20:02:49,86.0,87.0,52
2025-05-03 20:02:55,86.0,84.0,52
2025-05-03 20:03:00,86.0,83.0,52
2025-05-03 20:03:05,84.0,84.0,53
2025-05-03 20:03:10,86.0,86.0,53
2025-05-03 20:03:16,83.0,84.0,53
2025-05-03 20:03:21,84.0,84.0,53
2025-05-03 20:03:26,87.0,88.0,53
2025-05-03 20:03:31,86.0,86.0,53
2025-05-03 20:03:37,87.0,87.0,53
2025-05-03 20:03:42,86.0,86.0,53
2025-05-03 20:03:47,89.0,89.0,53
2025-05-03 20:03:52,87.0,86.0,54
2025-05-03 20:03:58,83.0,86.0,54
2025-05-03 20:04:03,87.0,84.0,53
2025-05-03 20:04:08,88.0,88.0,53
2025-05-03 20:04:13,89.0,89.0,53
2025-05-03 20:04:19,88.0,86.0,53
2025-05-03 20:04:24,88.0,86.0,54
2025-05-03 20:04:29,86.0,84.0,53
2025-05-03 20:04:34,84.0,86.0,54
2025-05-03 20:04:40,87.0,84.0,53
2025-05-03 20:04:45,87.0,88.0,54
2025-05-03 20:04:50,87.0,87.0,53
2025-05-03 20:04:55,87.0,87.0,54
2025-05-03 20:05:01,89.0,86.0,53
2025-05-03 20:05:06,88.0,89.0,53
2025-05-03 20:05:11,87.0,84.0,53
2025-05-03 20:05:16,86.0,84.0,53
2025-05-03 20:05:22,86.0,86.0,53
2025-05-03 20:05:27,88.0,87.0,53
2025-05-03 20:05:32,86.0,86.0,53
2025-05-03 20:05:37,84.0,83.0,53
2025-05-03 20:05:43,83.0,86.0,53
2025-05-03 20:05:48,88.0,89.0,53
2025-05-03 20:05:53,89.0,89.0,53
2025-05-03 20:05:58,83.0,86.0,53
2025-05-03 20:06:04,89.0,89.0,53
2025-05-03 20:06:09,88.0,88.0,53
2025-05-03 20:06:14,86.0,84.0,54
2025-05-03 20:06:19,88.0,88.0,53
2025-05-03 20:06:25,87.0,88.0,54
2025-05-03 20:06:30,84.0,87.0,53
2025-05-03 20:06:35,86.0,86.0,54
2025-05-03 20:06:40,87.0,87.0,54
2025-05-03 20:06:46,88.0,89.0,54
2025-05-03 20:06:51,86.0,86.0,54
2025-05-03 20:06:56,86.0,86.0,54
2025-05-03 20:07:01,86.0,88.0,54
2025-05-03 20:07:07,86.0,86.0,54
2025-05-03 20:07:12,84.0,86.0,54
2025-05-03 20:07:17,86.0,86.0,54
2025-05-03 20:07:22,87.0,87.0,54
2025-05-03 20:07:28,86.0,86.0,54
2025-05-03 20:07:33,88.0,87.0,54
2025-05-03 20:07:38,89.0,89.0,54
2025-05-03 20:07:43,86.0,86.0,54
2025-05-03 20:07:49,87.0,87.0,54
2025-05-03 20:07:54,89.0,89.0,54
2025-05-03 20:07:59,87.0,87.0,54
2025-05-03 20:08:04,86.0,86.0,54
2025-05-03 20:08:10,84.0,84.0,54
2025-05-03 20:08:15,87.0,84.0,54
2025-05-03 20:08:20,88.0,86.0,54
2025-05-03 20:08:25,87.0,86.0,54
2025-05-03 20:08:31,84.0,84.0,54
2025-05-03 20:08:36,88.0,88.0,54
2025-05-03 20:08:41,87.0,87.0,54
2025-05-03 20:08:47,89.0,89.0,54
2025-05-03 20:08:52,87.0,86.0,54
2025-05-03 20:08:57,86.0,87.0,54
2025-05-03 20:09:02,87.0,84.0,54
2025-05-03 20:09:07,89.0,88.0,54
2025-05-03 20:09:13,87.0,88.0,54
2025-05-03 20:09:18,89.0,87.0,54
2025-05-03 20:09:23,89.0,88.0,54
2025-05-03 20:09:28,86.0,88.0,54
2025-05-03 20:09:34,89.0,89.0,54
2025-05-03 20:09:39,89.0,88.0,54
2025-05-03 20:09:44,86.0,87.0,54
2025-05-03 20:09:50,88.0,86.0,54
2025-05-03 20:09:55,87.0,87.0,54
2025-05-03 20:10:00,89.0,87.0,54
2025-05-03 20:10:05,91.0,89.0,54
2025-05-03 20:10:10,88.0,88.0,54
2025-05-03 20:10:16,88.0,84.0,54
2025-05-03 20:10:21,89.0,89.0,54
2025-05-03 20:10:26,91.0,89.0,54
2025-05-03 20:10:32,87.0,89.0,55
2025-05-03 20:10:37,89.0,87.0,54
2025-05-03 20:10:42,88.0,88.0,55
2025-05-03 20:10:47,87.0,87.0,55
2025-05-03 20:10:52,88.0,87.0,55
